sentiments,corrected_review,corrected_review_length,review_score
neutral,really cool set only drawback is you have to order us adapted separate to use the light function on is ,20,4.0
neutral,was not pp compatible,4,4.0
positive,i bought one of these for my son to replace the old broken one he had after getting this set tried them and was pretty impressed with the sound quality so ordered another one honestly for the price it exceeds my expectation it works and the bass is solid buy it ,51,1.0
positive,decent headphones my sons both have ordered pair and while they generally work pretty well they have had few hangs with them while playing games sometimes they have to be plugged and plugged couple times before the sound works and sometimes it just doesn seem to want to work at all and yes the volume is up but overall they work about of the time and they were pretty cheap so ,71,1.0
negative,the headphones themselves are okay but the microphone is horrible it not flexible or adjustable in any way so you can actually get close enough to it to sound better than muffled to anyone else in voice chat it sounds like you re speaking through wad of cotton or from another room have no idea how this has gotten so many five star reviews when the microphone is so so bad ,71,1.0
neutral,for some reason this heads would not get recognized by my pp despite the product saying it is pp friendly very disappointed and piers cautioned ,25,4.0
positive,i use this heads for my is and the microphone doesn work unfortunately my friends can barely hear my voice if not at all ve noticed the sound quality is very low as well even in high volume it doesn light up unless plugged into computer and when plugged into my lawton it doesn connect pray it ll get better soon ,61,4.0
positive,mine came in the wrong color but regardless they are still pretty good headphones guess you just have to talk loud into them kind,24,3.0
neutral,they last about year,4,3.0
neutral,my year old didn care for them mid was to short sound quality was supper,15,5.0
neutral,this mid is great for gazing but bad for chatting,10,5.0
positive,got these for my nephew and he so happy the color is vagrant and we love that we can hear his game ll,23,5.0
positive,perfect for child for gazing and sound quality great price,10,4.0
neutral,the reliability of the headphones working is an issue they were used for gazing ,14,3.0
positive,make sure you keep an eye on kinds with these headphones overall they are great in sound and support,19,1.0
positive,there reason these headphones are super cheap because they are it comes with us and mm plugs so you ve got an overabundance of wires to deal with right off the bat the mid doesn go any lower than the image shows so find myself yelling into the mid to be heard by my team and they tell me the sound quality of the mid isn that good when replace these ll spend more money on higher quality set ,79,3.0
neutral,cheap quality broke within first month of light use,9,5.0
neutral,nice product but it works on everything except for an box one which is what have in order to use it with the box one it requires adapted which was not mentioned in the description,35,5.0
positive,very comfortable and very good for noise cancellation,8,2.0
neutral,thank you ,2,2.0
positive,the sound quality and comfort of the headphones were fine but despite all the option available to me my friends couldn hear me when using the mid ,27,1.0
positive,when you speak the mid sounded like was under water wasn clear if your not getting this item for mid recommend it because the hearing aspect of it is great can hear everything it just the mid is poor,39,5.0
positive,they look some and worked great for month that it wish they had kept working because liked the look of it it was present bought for my husband,28,3.0
positive,the game sound and chat sound great fits little tight but it might just be that have big head definitely love this more than the dollar box heads got at palmar ,31,4.0
negative,i bought this for my year old son now he not the most careful but these things broke within month would not recommend for kiss but if you treat them right now you shouldn have problem ,36,1.0
neutral,can be little louder,4,2.0
neutral,sound reflect lot don be fooled by the image,9,1.0
neutral,chord way to long spit part for lights doesn fit into series controller so its just useless kind low volume mid is ok,23,3.0
positive,this is the second time bought this heads and it has short in the cord won buy it again ,19,3.0
neutral,my son love them unfortunately they stopped working after only month ,11,2.0
negative,overall decent heads for the price the sound is pretty average but the microphone is pretty horrible if you plan on using it for meetings or discord calls buy different heads because you re going to have lot of trouble with this one ,43,1.0
negative,this heads is so bad when plug it in it doesn work at all sometime it works for see then shuts down,22,1.0
neutral,sound quality was okay when they worked the kept cutting in and out guess it back to the cheap palmar ones,21,3.0
positive,just not impressed at all these are supposed to be almost head phone not on sale but they definitely are not no base and could hear everything that was going on around me am returning them ,36,5.0
neutral, noise cancellation sound quality were fair ,6,5.0
neutral,good quality,2,5.0
positive,i bought this for gazing my dad said it will be total trash but he let me buy it it came pretty quick plugged it up to my is controller and played some destiny the sound was cellar then plugged it to my brother pp and played some minecraft also good the only problem have with it is if you don have portable charge you can really use the lights unless you play pp lot on the back there is only one color light green the mid quality is really good compared to an pad mid ve had it for few months really sturdy great for music great for gazing great for anything the noise concealing is not good but for say it epic ,124,5.0
positive,used it to video chat during online games works great,10,1.0
neutral,good for the money,4,3.0
neutral,bought it plugged it in sound comes through if the cord is in right spot but the mid doesn work no matter what do they feel flies to ,28,4.0
neutral,everyone on line is telling me sound mute and ve never had that problem before as if the mid is covered but this set doesn have short so make do,30,1.0
positive,doesn do anything particularly well but overall it does everything it supposed to do be good for casual games,19,5.0
neutral,the sound only comes through on one side and it not very loud,13,5.0
neutral,n a,2,1.0
positive,my grand picked this out and it was just what he wanted shipped quickly was just what he wanted and it works great,23,5.0
negative,bought them for my son they broke within year he could no longer hear audit waste of money,18,1.0
positive,noise cancellation is amazing ,4,2.0
positive,i use these for playing now and they are comfortable doing hour raid sound great and love the lighted feature works great so my wife doesn hear all the chatter ,30,4.0
positive,the sound is really impressive on this heads and like the sturdy mid rather than bend one you can really complain for the price but the mid is mid it isn like rarer mid due but it pick up your voice just find with minimal background noise it comparable to my logitech webcam mid hope this helps ,57,5.0
positive,box and packing was great no physical damage to the head set but it doesn work took it out of the box to plug in and use and never even small noise was able to be heard s they literally sold me broken product as if it was new and in perfect condition,53,5.0
neutral,the headphones are pretty and worked well in the beginning but now there echo don know why and what happened but the suck now ,24,3.0
negative,sound quality is not that great don be fooled it cheap plastic is fragile mid broke off ,17,1.0
neutral,wish they would get louder noise cancellation not very good ,10,1.0
positive,i had it for almost years and believe it was about bucks at the time have bad luck with headphones and cords this thing was godson it may be cheap but what got was hours upon hours for gazing or just talking to friends ,44,1.0
neutral,only one side works,4,2.0
neutral,the breaking thing broke before could even use it was out of town for few weeks so by the time noticed it the return date had expired ,27,1.0
neutral,it worth the frustration if was you just get different one,11,1.0
positive,if you have normal size ears they won fit to small if you have normal size head they won fit to big and hang down past ears ,27,1.0
positive,the headline says it all these sound great and have pretty good noise cancellation but they are very uncomfortable could only wear them for short amount of time before reverting back to my old headphones ended up throwing them away because won use them ,44,1.0
neutral,this head so it was not that company when first got it well the texture of it feels nice it seems like it doesn fit my head right this isn that tight on the ears doesn seem noise concealing another thing noticed while using this for gazing is if there are sounds one way you will hear it on all sides with no direction very hard to use and play competitive second issue have found with this heads is that it is very bad at picking up noise and have found myself yelling trying to talk to my teammates with them still barely being able to hear me returned it and do not recommend this heads ,116,5.0
neutral,got in and the mid doesn work ,7,1.0
negative,the microphone doesn work and the headphone quality is very poor not loud ,13,5.0
negative,my fiance got me this as birthday gift and of course now just outside of the return window my mid doesn work so no one can hear me when we playing together and the heads doesn light up either very disappointed as now have heads that serves no purpose to me and can return ,54,3.0
positive,excellent quality for the price,5,1.0
neutral,give had it for less then hours and its already broken like the product and they feel nice on my ears but it is problem that this happened and hopefully this wont happen as often,35,3.0
positive,worked great ,2,2.0
neutral,i can hear everything even when my game is on loud do not buy for noise concealing rate stars for false advertising,22,4.0
neutral,doesn hook up to my box don say that something can connect to something if it doesn that false advertisement ,20,5.0
negative,it viable heads for the price do not expect the best sound quality,13,4.0
negative,the heads itself is pretty but it big on my head without the ability to adjust the lights on mine don turn on no matter what do the sound quality isn bad it just isn loud at all even at the highest setting still use them for horror games but if you like your games loud wouldn recommend this heads ,60,4.0
neutral,only complaint is they re slightly unconfirmed uncomfortable and doesn cover the whole ear especially when you swear bit but with every penny,23,1.0
neutral,i used these for my box one so had to buy and adapted as well as some kind of power source power bank to power the led lights but other than that they re soon cut ,36,1.0
neutral,sound on the inside of the heads is bit buggy and low sometimes,13,2.0
positive,great price onlycomplaint is cord gets tangled lot,8,5.0
neutral,i was enjoying these headphones although they had some odd features like the dual cable that is excessively long the sound quality was pretty great for the price while it lasted but they made odd cracks and pips from time to time maybe from whatever issue caused them to stop working either way am not impressed and even if were to get another pair of headphones from this brand would not try anymore at this price point ,77,1.0
negative,microphone is bad build quality is horrible feels very cheap like you could purchase at below ,16,5.0
neutral,easy to set up the ear pieces are soft and supple up and running in literally minutes the sound quality is seriously lacking horrible sound and absolutely nothing could do to fix it ,33,5.0
neutral,cool works ,2,1.0
neutral,cheap,1,4.0
negative,bad sound,2,1.0
positive,got this set for my son who has been using it for school work chatting with friends and gazing on his computer we have been very happy with the heads it has worked fearlessly with no issues whatsoever sound quality is great and the heads has served its various purposes very well so far would definitely recommend ,57,2.0
neutral,after two months had lost my mid and now the wire has become disconnected from the heads did say just two months couldn believe it because they had decent reviews ,30,5.0
neutral,the sound quality both playback and recording is fine however find the earmuff portion of the heads to be bit too small as it does not fit around my entire ear and don have particularly large ears again this probably wouldn be huge issue for most people but if you have earrings it might be bit uncomfortable ,57,1.0
neutral,had an issue they sent me the wrong color first time as well as faulty heads that had audit issues they promptly handled the issue and have to say for the price point it good heads,36,1.0
negative,this product has been advertised as having led capability and it does but the lights are not bright enough that was the whole entire purpose of what had purchased this set for disappointing and considering beginning return plus the led lights engineered into this unity are barely colored purple and that is what classify as entirely weak knee lackadaisical engineering prowess disappointing ,62,1.0
positive,this is perfect for kiss just getting into gazing that aren yet mature enough to be gentle on very expensive gazing heads would purchase again ,25,2.0
neutral,broke so fast made out of plastic if you dropped it on your bed it could ve broke it antique at this point do not buy this please at all costs ,31,1.0
neutral,the cord is way too long it and it gets tangled up because it is so long and sometimes it cuts out so can only hear in one ear and have to fiddle with the cord to try and fix it the mid cancers most noise but the heads does not cancel any noise and since have fan on can hear it with my heads on and it gets annoying while trying to game ,74,3.0
negative,not good at all but did pay cheap for it uncomfortable sound is not that good and short mid wouldn buy again ,22,4.0
positive,bought for gazing took great care of them and out them up everyday once he was finished days after the day return window closed they no longer work,28,1.0
neutral,everyone says sound far away or in tunnel,8,1.0
positive,noise concealing is okay heard from friends that the sound quality is kind of bad but for kid been or if it first heads it good for the price ,29,3.0
neutral,it is very good in sound quality noise cancellation,9,2.0
neutral,this does not work with my is will be returning ,10,5.0
negative,this product is very disappointing and the advertising for it is suspect while it states that it is compatible with the intend switch and box one systems the microphone is not compatible with either unless you pay and extra for an adapted to make the microphone work the worst thing though is the return window you have like weeks to return it then you are stuck with it spent two weeks trying to get it to work and firing out whether it was worth it to pay for the adapted now am stuck with these useless things very very disappointing it is definitely worth it to pay more money for better product that is actually compatible with the systems it says it is compatible with ,125,1.0
positive,so the sound quality is pretty great but the mid seems to be picking up voices from the games play have to lower the dialogue volume if that is an option if not have to turn down the whole game volume to get the mid to not pick it up through the headphones perhaps if the mid was further away from the headphones but because it is so short it seems to pick up voices from games or video really easily edit so the mute tongue on the cord does not prevent this audit picked from the mid it completely stops my voice and sounds from my environment but it somehow is still picking up voices from games or video even when the mute tongue is on ,127,1.0
neutral,i turn it up to max and it just not loud enough for me do however like the flowing pink on the sides ,23,1.0
neutral,these were really nice in the beginning don use my heads often for personal reasons somehow this magically has short in it the sound was never that great and always static like anyway ,33,2.0
neutral,best heads ve bought so far my first real heads my last one ve had for years and was the only one had since got my is so was nervous to get another one this one is even better only sad part is can get it to light up,49,5.0
neutral,its only been like month and it has short in it its been like this since got it but thought it would stop but it didn ,26,1.0
negative,stop working after month or so ink why people can hear me but can hear them bought july stop working september if looking at this buy gastro instead,28,5.0
neutral,mid stopped working after use bought it in advance for birthday and can return it fun ,16,1.0
negative,overall underwhelming heads given it cheap price sure it could meet your needs don like that the ear puffs don turn so its kind of uncomfortable to wear can imagine wearing these for long periods of time the chord connection is obnoxious long unless this is something you re looking for mid settings mute is all basic controls which is expected with lower price point mid overall not practical for long term use in my opinion will be returning ,79,5.0
neutral,my son said they worked well for couple of hours then they stopped working no sound couldn talk ,18,1.0
neutral, ,0,3.0
positive,my little brother got these for his birthday and absolutely loves them he takes em with him everywhere ll haven actually played with em but the one time had them on they seemed pretty comfortable as for noise concealing the boy can hear damn thing when he playing his games so be willing to wager they do good job at that ,61,1.0
neutral,plugs didn work for computer or phone very quiet when they would work,13,1.0
positive,very much worth it for the price mid and sound is better than some expensive ones ve bought would definitely buy again ,22,5.0
negative,the sound still works but the mid broke within week defeats the purpose of gazing heads ,16,5.0
positive,i love these headphones there are super great fro my gazing and music as well,15,1.0
neutral,nd set now that the mid doesn work need my money back,12,5.0
neutral,it deserves stars for not working can hear my game at all super uncomfortable too expensive to not work,19,5.0
neutral,hello,1,5.0
neutral,got them for my nephew he said he likes them just have to see how long they lay because he rough on them ,23,3.0
positive,it works but the sound quality isn good at all so can barely hear and the mid doesn work so can talk to my friends while playing witch is the only reason got it,34,1.0
positive,best quality best price,4,4.0
positive,my high function and high school loves these he wears them to game ad the he doing homework he listened to music on low to take away anxiety of noise around him yet can still hear someone speaking to him great product ,42,2.0
positive,works great for our daughter ,5,2.0
neutral,the sound quality is fair and mid works fine the feel is very plastic and light ,16,1.0
neutral,i disliked everything about he heads,6,3.0
positive,the noise cancellation is great had these headphones for little over year before my dog thought it be cut to chew through the extra thick braiding on the cord would recommend trying these if you re on budget ,38,5.0
neutral,the controller needs to be close to the is because of the short length of the cable can even adjust the length of it so have to play extremely close to the to and is and it uncomfortable to hold ,40,5.0
neutral,these headphones are nice to look at but the microphone sucks most games of any level or even someone who needs to use it for room conferences needs decent quality mid this is not that the positive reviews must only be focused on the sound and the look just got these couple hours ago and will be returning s,59,1.0
positive,these lasted just long enough for the return window to close the sound quality and everything about them were actually great while it lasted the first thing to go was the mid guessing it was fine at first then my teammates started to say hey your mid is garage it sounds terrible mute your mid then after the mid started going the end of the plug is now slipping out of the jack all the time and the sound from the speakers almost is starting to sound clipping if these lasted year or so would say great buy but they didn they lasted like month or less ,107,4.0
neutral,terrible sounds goes and comes you have to move the cable around to get the sound back to both ears,20,1.0
neutral,was good heads while it lasted these lasted for maybe three months before they stopped working ,16,5.0
neutral,only used few times and microphone not detectedthe headphones also use too much pressure on my ears compared to other headphones,21,5.0
positive,there great heads,3,5.0
positive,used for my grandson is but audit doesn work his friends can hear him,14,1.0
positive,i enjoyed these headphones and they are amazing for this price recommend for people who need headphones before pro headphones though it doesn cancel all background noise it helps clot ,30,2.0
negative,head set broke not good cord,6,2.0
neutral,this product is trash bought two for my kiss neither even work properly one you can hear sound other set the person can hear you what waste ,27,1.0
neutral,in this price range these headphones are top notch replaced my former pair same brand with these and have no complaints ,21,1.0
positive,what liked about the headphones is they are good for my games if there is bass or low tones the headphones feel like they shake bit however the headphones are only ok when concealing noise can still hear some vehicles drive by outside it is my own fault for not reading the description carefully but what do not like about the headphones is that they need us attachment and you have to plug it in for the lights the us that attached to it as cord is really short but over all like them,94,1.0
positive,great price they work just fine they fit well am not pick person so thought they were perfect for gazing discord etc ,22,3.0
neutral,i use this for occasionally gazing with some bodies they constantly complain they can hardly hear me ve only used the heads few times and microphone does not work well wish could return but beyond the days ,37,1.0
neutral,poorly made,2,1.0
neutral,mid does not work on the switch you can only hear but they cannot hear you when you speak,19,5.0
positive,way to quiet but comfortable the,6,5.0
positive,it good for pinch it doesn have the best quality also it not for console gazing the led lights needs to be hooked up to us in order to light up wouldn recommend if you want to play on console ended up going back to turtle beach ,47,5.0
neutral,does not work with box ,5,1.0
neutral,mid quality is terrible people can hardly hear me through it,11,1.0
positive,my son loves his new headphones,6,5.0
neutral,you get what you paid for this heads probably is good for gazing but bought it to use for my work video conferences and people complain about the quality of my voice over microsoft tears will need to get higher quality heads edit the seller contracted me with an offer of gift card if remove my review ,57,2.0
negative,microphone died within week of receiving returned for refund and shelled out the ponies for turtle beach instead ,18,3.0
positive,great,1,4.0
positive,so the blue light won work unless you plug into additional us power device kind of lame mean year old kid was sad as it showed them blue but guess my fault not reading more should just be battery would last forever being ledanyways it tried them on and they do block some noise the sound is pretty good he loves them would recommend as they are cheap and haven tried anything else ,73,4.0
positive,came in timely manner and sound awesome very comfortable,9,1.0
negative,bad quality microphone does not work if you touch the cord at all the headphones don work do not recommend ,20,3.0
positive,the audit quality and fit are pretty nice however key feature needed was mid built into the heads the gain on the mid is maybe making it completely inaudible loud blowing into the mid brings it up to an audible level on playback but far from normal interaction when conversing will continue to use my very old logitech mid which is far superior in audit capture ,66,1.0
positive,love the overall look love how it can light up for when play at night the noise cancellation is awesome really great product invested in,25,2.0
neutral,sounds break up it not loud says box one compatible but it not cheap quality ,15,1.0
neutral,keeps sliding off and not much adjustable ,7,4.0
neutral,i have fan and this mid pick it up which is good and bad but id get for definitely not the price is not worth it th ,27,5.0
positive,headphones are great with amazing sound quality decent noise cancellation and would say it good for gazing did realize when it at full volume you can hear it from distance and sadly the lights don ray work bc the wire that makes the light turn on doesn reach when also try to use the headphones ,55,3.0
negative,opening for your ears to small and hurt after wearing for few min,13,1.0
neutral,the cord for the lights is not long enough to reach across the lawton and plug into the sob once the jack for sound is plugged in ,27,1.0
positive,this heads worked well until just outside the return window worked great when it wasn broken don trust the stars ,20,1.0
positive,i just purchased this heads because my old one wrapped out on me can hear sounds fine but even at max volume it really quiet when tested the mid by doing short recording in audacity it was super quiet and sounded like was inside well covered by blanket when speaking at normal inside volume used different program to rectify this kind of the mid is now better volume but still sounds like cap guess it technically does what it supposed to but even for only thirty is bucks this heads is not great probably just going to buy different one and keep this one as back in case need it the only real pro of the heads is that it decently comfortable bottom line don recommend this thing ve spent less on better quality headsets before ,136,1.0
negative,i bought this heads for my grandson july th and the microphone stopped sanctioning august st he only used the heads six times ridiculous ,24,4.0
positive,great for gazing,3,5.0
positive,great price,2,4.0
neutral,microphone doesn work,3,3.0
negative,arrived with dead microphone sent it back ,7,1.0
positive,decent enough sound quality but already have quality headphones for audit the product is bordering unable because whenever use push to talk feature it just plays whatever sounds it making back into the mid as input my friends cannot hear me all they can hear is game sound whatever song have on laughably terrible feature it almost be better if it just didn input anything ,65,1.0
neutral,we re very happy with heads except it stopped working after only months which was very disappointing ,17,1.0
neutral,sad that you can get anything from china that works for more than month these days it getting to be ridiculous at this point bought these for my kid and like clockwork they broke precisely after the day warranty was up no sound output at all maybe just have horrible luck but it seems like if it says made in china on it and you use it with any type of regularity it donna take dump premature these things aren work not to mention that it huge ordeal if you want the lights to work and you re playing on console avoid these turns at all cost ve heard that the company is impossible to get hold of anyway so not going to waste my time ,126,5.0
neutral,noise cancellation sucks,3,1.0
neutral,does not actually work with anything remote resembling modern pp it still has auto jacks,15,1.0
positive,i love these headphones just got them yesterday and in in love its so hard for me to find headpphones that dont squeeze my ears and give me headache these bad boys do the job perfectly the sound is perfect level if dont like super loud headphones but you still get to enjoy the sound proof quality for yourself get them ,61,2.0
positive,better than the headsets ve bought definitely buying these from now on use on box series x,17,5.0
positive,excellent,1,1.0
positive,good for kiss if true game don waste your money volume is low even when turn them up to the max,21,1.0
neutral,i had brought the headphones but one blue is my favorite colors and two they were supposed to light up when you plugged them in also the noise cancellation well plugged them in and could still hear the noise and could not hear the pp whom was playing with very very disappointed ,52,5.0
negative,waste of money only worked for week then died left it alone for few days thinking maybe just over used it cause it was cheap ,25,1.0
neutral,my son wanted in headphones choose to order this when his playing with intend switch nobody can hear him ,19,5.0
positive,these headphones are great the sound quality is excellent can put the volume all the way up it just gets too loud the length of the cord is plenty long enough to be able to move around at the desk,40,5.0
neutral,they are designed with mm jack and us cable my gazing lawton has an output mm port and an input port for the mid normally use only us headphones which is what thought this heads was apparently the us only powers the lights useless will never buy from this company again they got my money which is all they were after ,61,5.0
positive,this is great back up set for when your good heads breaks the more you use this one the worse it gets at first it sounded great the glowed very bright but after few months there was lot of feed back in the mid and the surround sound didn work at all made gazing hard without being able to hear call out ,62,4.0
positive,provides the best sound quality and noise cancellation for their price highly highly recommend,14,1.0
neutral,microphone doesn work useless,4,1.0
negative,these headphones are awful static every time you move not worth rather spend and get something decent,17,1.0
neutral,good mid qualitypretty pink colored by year old girl,9,1.0
positive,the design is nice but these headsets aren worth it it use to light up when plugged in and play sounds loudly when first got it but not anymore the sound has to much bass and sticky from the beginning the microphone would not work despite following the instructions to turn it on so just used it for work to hear modifications when stepped away my computer won recognize the heads anymore even when the lights are turned on just prop now ,82,1.0
positive,i purchased this gazing heads to that could work on my computer and play syria while my wife watched our television in the next room my wife loved the led lights on the heads loved the great sound and noise cancellation ,41,2.0
positive,the have great sound and work what need them for also the shipping was quick,15,5.0
positive,they love them use them all time,7,5.0
neutral,my son loves them but unfortunately they stopped working after months,11,5.0
neutral,could not get it to work for my son pp missed the return window ,14,3.0
neutral,when they worked they were great but the random stopped working about one year after purchasing,16,5.0
positive,i bought this heads in may and loved it up until now in august and the mid barely works seems as though the internal mute switch is stuck on worked great up until this point so very disappointed ,38,5.0
neutral,the microphone stopped working after the th day sent them back and bought another brand ,15,1.0
neutral,audit is inconsistent and cuts out mid also sounds like garage ,11,4.0
negative,bad audit broken mid flies big and you can hear the audit even with them on horrible heads would not recommend,21,5.0
positive,and for the prices probably the best buy have ever gotten for gazing headphones these fit an adult head and kid says they are comfortable sound is good too ,29,5.0
positive,i wrote this because my friends think spent lot more money than did on this on nightly basis have box fan blowing directly on me and like to watch stuff on my tablet while hanging out with my friends in voice chat none of them knew had fan on and the tablet inches from my face is also not heard this is really great value ,65,5.0
positive,so happy bought two of this headphones ,7,1.0
neutral,my mid stopped,3,1.0
neutral,does not come off his head ,6,1.0
positive,they work great feel great on,6,5.0
neutral,there is so much unnecessary wiring really excessive amount of weight for mid on off and volume false picture advertisement no blue light are in not worth the money ,29,4.0
positive,i have an box and the volume does work but how come my friends can hear me ,17,4.0
neutral,it didn work for my box series put in the adapted and still didn work ,15,5.0
positive,these work great good shutting out noise they sound great you can tell the surround sound good bass only down side to me is they seem to be made for lawton cause the the us cord for the lights is super short for controller use you could put one of those power bars on it button it just hangs there other then that great buy,65,5.0
neutral,it works really well,4,5.0
positive,love the color and the sound and ability to talk with ease as game ,14,1.0
positive,its great product,3,5.0
neutral,the headphones are made for children heads the earpieces don cover an adult ears the plastic and shape of the heads itself feels cheap and readable the microphone quality is atrocious and makes anyone speaking through it sound like the stereotypical kid screaming into mid on fortunate ,47,4.0
neutral,does not work with the is and they are not well made the ear ad came off almost right away and they don even work well with the computer in order to have sound you need mm jack which the is does not have the us seems to be power source for the brilliant blue lights don recommend these at all the lights are nice but not worth it since they don do what they should ,76,5.0
negative,i purchased this as an admittedly cheap heads just have something to use until could afford better one and within weeks of owning it the heads stopped working would not be detected at all by any of my pus had amazon replace it with another one and that nd one failed the exact same way less than hours later unreal would advise anyone looking for heads to look elsewhere terrible cheap awful product ,73,1.0
positive,my son loves these for using with his tablet or plugging into the intend switch ,15,5.0
neutral,the cord is very long for use with box controller if the us isn used it just in the way is not plug and play on pp ,27,2.0
positive,i can still hear my is thought the noise cancellation would have been better and the mid quality is little muffled but everything else is great,26,1.0
positive,i got these for my boyfriend birthday he loves them they for sure noise cancel because have to scream at him for him to hear me you would have to connect the light us to power source if you re not gazing on computer but works great for his daily use ,51,3.0
neutral,my grandson was so excited to use them with his plantation ,11,1.0
positive,ordered this for my year old son the second he opened it he could tell it was june but he tried to give it fair shot both my boys are really big into gazing and they said that this is pier cap the microphone doesn work at all he can talk to any of his friends return it but my time is more valuable than this item if your kid is little and he doesn have any friends to talk to this might last week or two but besides that he was pretty upset wouldn buy it if were you had to order him different set so just my opinion if you don know what you re looking for don get this mon doesn know ,125,5.0
positive,these headphones are comfortable and the noise concealing is great the sound quality is also very good both through the headphones and through the mid the only issue is the wires it impossible to use the lights through the us and plug in the headphone jack at the same time on my lawton because the us and headphones insects are on opposite sides and the wire isn long enough which is really irritating when the actual wire is very long and its just the split wires part that too short the extended they give with the product also seems cheap the sound through the headphones with the extended is completely missed up to the point of it being unable none of these problems are with the headphones itself so still gave stars but it annoying that can use every feature included honestly the product is solid stars ,147,1.0
neutral,decent for the price it works as described ,8,2.0
positive,bought as gift and seemed to be received well love the color,12,1.0
negative,it literally barely works no one on discord can hear anything say just the faintest whispering had to go back to my old mid,24,3.0
neutral,good,1,1.0
positive,i have trouble getting it to keep up good audit sometimes it ok but it been going downhill steadily for year mid has only one axis of rotation so can get it closer to my mouth that part of the issue but only part it also not very come as the spring force is too strong and the earmuffs too firm overall they are cheap and they feel like it and sound like it would get something better were you ,80,2.0
neutral,mid cut out periodically and it serves the bare minimum but it stopped working after month of use,18,1.0
neutral,the sound is awesome very lightweight however the microphone is very poor quality and no one can hear me so waste of money for my purposes summer it cool unit just wished it worked ,34,5.0
neutral,i recently just bought this heads for my box when went to test it out the wire was way to long for gazing and when tried using it all can hear are cracks every time talk don buy this ever go for different pair ,44,5.0
positive,great,1,5.0
neutral,i was using these headphones for my lawton and sound only comes from one ear and no matter what do it does not work and the audit plays out of the headphones when plugged in,35,5.0
negative,not the best,3,5.0
neutral,item defective,2,5.0
negative,the sound quality is good but keep accidentally pressing the stroll down on the sound also for my pp the mid is absolutely terrible no one can hear me at all for pp get different heads ,36,2.0
negative,hello these headphones didn last more than months there is no audit am disappointed in the quality and would have thought these would have lasted longer ,26,5.0
negative,i have had many headsets and the sound from this heads is terrible nothing like what they have posted or advertised highly do not recommend these for gazing,28,5.0
positive,definitely good product for the price the only thing wish is that could go slightly louder on some games other than that they re comfortable and keep out excess noise for sure ,32,1.0
positive,awesome heads wouldn go back to anybrand under dollars to replace this one amazing deal,15,4.0
positive,great product works good unable sounds good ,7,1.0
positive,bought it for father day he loves it,8,5.0
positive,overall happy with product,4,3.0
negative,this lasted barely months and microphone is broken ear speaker still works other speaker is broken this is low quality june pay little extra and get something that works ,29,2.0
negative,just spend dollars more this is terrible quality mid and speakers ,11,2.0
positive,these headphones are worth the money clear and unable they get dropped lot will definitely buy again ,17,4.0
positive,i think they sound fine they were pretty nice and do the job at great price,16,1.0
positive,i use this to keep out the noise that goes on in my house live with kiss so it can get quite noisy around me and these do good job with keeping the noise out ,35,1.0
neutral,within minutes of putting them on had to take them off because they were crushing my ears on the temples of my glasses returned them immediately ,26,5.0
positive,i liked the quality for gazing and the sound quality is great for what we needed it for my son uses it for school and for leisure such as playing games and watching couture ,34,1.0
positive,grandson loves him,3,1.0
negative,purchased received it worked my son used it for few days but was afraid to tell me that it stopped working just after days of use unfortunately the return window ended but it is completely useless tested it and mid does not work super upset in ,46,1.0
positive,great purchase for game,4,1.0
positive,i was hoping for much more sound than got mid is ok,12,5.0
negative,ok for gazing the sound is already failing on one side very disappointed ,13,5.0
negative,this is the fifth item purchased on prime day that is as good as trash cheaply made poor quality not easily adjustable definitely not noise concealing ,26,4.0
neutral, by far my favorite heads ,5,1.0
positive,i bought one of the used headphones said it was in great condition just the packing was different when tried to talk with my friends couldn hear them and the mid was not working no matter what did terrible quality and an overall nuisance to use ,46,5.0
neutral,could not get product to work and the cord was too long,12,1.0
neutral,good,1,4.0
negative,this gazing heads does not light up when you play this only lights up when plugged in to the us for charging only initially bought it because thought the led would show when gazing which is the main purpose but was wrong plus the tables are way to short to have it plugged in and the surround system is bad wouldn recommend buying this cheap mid ,66,5.0
neutral,this is not bluetooth product even though it shows up in results as bluetooth ,14,4.0
negative,the microphone barely defects audit if you re talking at volume any less than screaming painfully uncomfortable to wear with glasses and the sound quality isn much better than my old heads which ve had for years even for only expected something could use for at least minutes before it gave me headache ,53,3.0
neutral,just opened the package and doesn even work,8,1.0
positive,the mid is good and the sound quality is also good ,11,4.0
neutral,does work for is controller just doesn have plug to light up,12,3.0
positive,i ve had these for little over four years now and have had no problems with them at all mid is great sound is great volume control is easy there are blue lights in the heads that light up if you plug the us portion in for power they are everything need want in heads edit ve used these exclusively with plantation box console over the past years with no problems but recently ve started using them for pp gazing as well and for some reason the mid does not work with pp sound coming through the headphones is still fine though ,102,5.0
positive,sound is great mid is great everything about these headphones are top notch they even light up and didn know that was so excited when got them in the mail so cut and so high quality ,36,5.0
neutral,you can hear the box audit in headphones but to sound still plays ,13,5.0
positive,i got my heads few days after ordered it and it turned out that one side is not working so notified them and right then and there they replaced it with red one as requested because it just goes along with my computer no questions asked the heads looks awesome love the lights anyway besides the awesome lights this has got to be one of the most decent sound wise quality and most awesome looking headsets out there and for very sweet price mean price like that for heads like this is very cheap repeat the price is very cheap for what this headphone worth if you re game and do not want to spend cap ton of money for decent heads you might want to try this ,128,3.0
